,Hospital_Norm,Traffic_Norm,Enforcement_Norm,Fire_Norm,Roads_Norm,Median_Age_Norm,Crude Depression Prevalence Estimate_Norm,Average_Family_Size_Norm,Population_Density_Norm,Shannon_Weiner,Percent_Male,Percent_H,Overdoses,County Name
3136,4.7737086934693304e-05,0.026136093174185884,0.0005012394128142796,8.353990213571327e-05,0.019495185269731305,0.7024894641782059,0.6180555555555556,0.7713187801488023,0.0002672984268891327,0.154729533558348,0.4991320099630161,0.04868291946562,0.0,FORD
3144,2.709078550683066e-06,0.012464968691077601,2.8445324782172194e-06,6.3211832849271534e-06,0.03435849682456383,0.6732713280381909,0.576388888888889,0.7553219433406547,0.013639576897229954,0.5049172256209283,0.5017793194804612,0.0968915232546391,6885.0,FORSYTH
3148,2.2251962387652274e-06,0.005873601122740236,4.380855095069041e-06,2.758316170969396e-06,0.01489352092319505,0.6363636363636364,0.5833333333333334,0.8493827160493828,0.01108389791326982,0.7064376380615971,0.4941112033344355,0.2553124008880431,3126.0,FORT BEND
3150,2.7322843345804893e-05,0.01780330671684234,0.00019014792723795614,8.451018988353605e-05,0.01569765867030461,0.7317076689250109,0.9201388888888888,0.7330009900331993,0.0065842690925475246,0.2529901852852041,0.4999373669046724,0.1921896530126519,35464.0,FRANKLIN
3751,8.913044923869729e-07,0.010291254804066025,1.871739434012643e-05,1.3518118134535754e-05,0.020469331178450026,0.6990166505234998,0.6493055555555555,0.7809020926896794,0.0049398174601248835,0.4825547835488161,0.4959192417418201,0.1191065873853538,793.0,FREDERICK
3757,3.774012759962903e-05,0.04217636869178943,0.0005944070096941572,0.00015410552103181852,0.002452112789458835,0.7489142857142858,0.6666666666666666,0.7302433862433861,8.678084811255384e-05,0.2599531061958589,0.5797343866508131,0.139074182301848,1112.0,FREMONT
3776,1.4906801790319977e-06,0.008279187868551835,2.012418241693197e-05,4.161482166464327e-06,0.023750283629975492,0.6875547674194171,0.8854166666666666,0.7499112080941522,0.049923855768287104,0.1615839693918911,0.4974963656921337,0.0251978678727184,10324.0,FULTON
3841,2.7193716154032634e-05,0.0365545159084205,0.000856602058852028,0.0001586300108985237,0.024957426679280983,0.7072727272727273,0.6284722222222222,0.7703703703703705,0.00019454911800868995,0.5178033613880639,0.4795060249291523,0.1167661221574545,110.0,GADSDEN
3844,1.4651443991376875e-05,0.030916925374866278,0.0001923002023868215,0.00011110678360127462,0.009779119125694898,0.6968200964999617,0.642361111111111,0.7182397786722415,0.000280439894623859,0.1665410243686354,0.4893923789907312,0.0224510813594232,0.0,GALLATIN
3854,2.6726952820657017e-06,0.008535035381065419,1.870886697445991e-05,7.795361239358297e-06,0.031890715667311414,0.6745454545454546,0.7222222222222222,0.780246913580247,0.007776653486307274,0.4350638907682188,0.4944261964566234,0.2683910315106814,3118.0,GALVESTON
3856,6.459148034122787e-05,0.02931550228358512,0.00038754888204736726,0.00011841771395891779,0.006034249982877622,0.6900459136822772,0.642361111111111,0.7518504662537585,0.00022067110699207213,0.2060103754002378,0.5152639270286329,0.3054873054873054,640.0,GARFIELD
3897,2.5912365833557794e-06,0.00965406211602562,2.7207984125235685e-05,2.1161765430738865e-05,0.03230546915182835,0.7836363636363637,0.7465277777777778,0.780246913580247,0.002740946355546559,0.1191193533933873,0.5025715153610072,0.0189380846138537,515.0,GEAUGA
3898,0.00016230600831361287,0.049763165239893034,0.002556319630939403,0.0002840355145488225,0.023315833200756572,0.78,0.6458333333333334,0.7432098765432098,3.168624587157479e-05,0.1752776208332497,0.5074933881868939,0.0953570379077284,0.0,GEM
3899,1.1976556059104338e-06,0.0068882512438230474,3.301038263790633e-05,6.811666258615592e-06,0.020938677465922793,0.7037369082530373,0.798611111111111,0.7462706946577915,0.015279819217600623,0.4534965815216651,0.4853240062390698,0.0400390066246582,516.0,GENESEE
