,County Name,Overdoses,Hospitals,Median_Age,Average_Family_Size,Number of Roads,Traffic_Volume,Population,Population_Density,Area_Sq_Miles,Number of Pharmacies,Number of Local Law Enforcements,Number of Fire Departments,Crude Depression Prevalence Estimate,Percent_Male,Shannon_Weiner,Percent_H
765,CACHE,507.0,2.0,25.6,3.55,437.0,3116652.0,51407806.0,41952.0,512570.41,12.0,,7.0,24.6,0.5028643176646002,0.2298573644226061,0.1129390110791664
766,CADDO,172.0,12.0,36.53799654576856,3.058307426597582,2316.0,15464162.0,497687208.0,524333.6,2320405.64,2.0,11.0,29.0,24.0,0.5640506908924345,0.6006819468642638,0.1596686769982441
768,CALAVERAS,254.0,1.0,49.10000000000001,2.81,173.0,760275.0,7994676.0,7612.0,179321.41999999998,6.0,2.0,12.0,18.4,0.5011275046710908,0.2876732326284653,0.1494319524085647
769,CALDWELL,1379.0,5.0,41.61402173913044,2.910945652173913,920.0,4258888.0,44722653.0,96726.2,402568.54,,5.0,36.0,25.5,0.4933174224343675,0.2388647849560355,0.0226730310262529
789,CALEDONIA,467.0,1.0,,,,,,,,,1.0,13.0,24.9,0.5012917361588017,0.1504725963486289,0.0205696719971222
790,CALHOUN,1385.0,9.0,43.52168823166974,2.886343191620456,3246.0,7919335.0,142004214.0,213986.9,1803010.12,5.0,17.0,69.0,26.4,0.4864148270977994,0.4490747164547212,0.0434500984557985
911,CALLAHAN,0.0,,43.1,2.92,279.0,843190.0,3833181.0,4185.0,251448.75,,,5.0,22.7,0.4983814215341309,0.207066008287938,0.1187192118226601
912,CAMAS,0.0,,44.4,2.77,51.0,15780.0,58599.0,51.0,55033.59,,1.0,,19.2,0.5255854293148309,0.1778035768423651,0.0901994796183868
913,CAMBRIA,3206.0,2.0,43.8,2.87,1842.0,4104743.0,267769698.0,381662.4,1277427.0,,5.0,46.0,22.0,0.4992810462488873,0.2046438244870633,0.0202067847931771
914,CAMDEN,12166.0,8.0,38.1882640586797,3.1603973105134475,3272.0,38109842.0,1384583660.0,6000834.8,1000126.06,4.0,7.0,53.0,20.6,0.5167944153087892,0.4766912778159891,0.0797362005156718
930,CAMERON,981.0,7.0,42.78670212765957,2.9659574468085106,564.0,372015.0,3464604.0,4097.400000000001,676005.33,,9.0,14.0,26.2,0.5101856043458578,0.1209235730708474,0.0176550475328202
936,CAMP,0.0,1.0,38.0,3.14,168.0,539575.0,2095968.0,10248.0,34129.200000000004,,,2.0,21.6,0.4886756841774143,0.4405357762826289,0.2790972003774772
937,CAMPBELL,1259.0,3.0,37.98965922444184,2.9927614571092835,1702.0,12309082.0,106793330.0,389889.1,2305663.06,9.0,10.0,38.0,24.6,0.4970203644158628,0.1956195522357857,0.0240300107181136
962,CANADIAN,900.0,1.0,,,,,,,,23.0,1.0,8.0,22.7,0.4968637118753288,0.4627341629968827,0.1160397046391051
963,CANDLER,0.0,1.0,37.5,3.15,154.0,435684.0,1711864.0,6806.8,38315.2,,2.0,,21.1,0.4856363636363636,0.46221431685803,0.1286363636363636
964,CANNON,213.0,1.0,41.5,2.98,90.0,269622.0,1258380.0,4671.0,23913.9,,,4.0,26.6,0.504057343792264,0.1723816852012538,0.0307005680281309
965,CANYON,1424.0,3.0,31.7,3.36,1175.0,7029933.0,226864300.0,367775.0,709124.25,28.0,5.0,7.0,19.3,0.5000896182263557,0.2278422966734471,0.2583394738414354
966,CAPE MAY,2245.0,1.0,47.1,2.89,587.0,3792459.0,57300592.0,220770.7,151809.94,,1.0,26.0,17.5,0.4873162264466612,0.2376774500324492,0.0856599117468682
967,CARBON,1472.0,4.0,38.86631158455393,2.953435419440746,751.0,2200005.0,12687286.0,4455.1,4003658.33,11.0,6.0,42.0,20.3,0.5160568923875123,0.1647814128551719,0.0305930763037838
983,CARIBOU,0.0,1.0,37.6,3.12,89.0,118484.0,621576.0,347.1,160072.72999999998,4.0,1.0,1.0,19.2,0.5072322670375522,0.1287753523713508,0.0749652294853963
984,CAROLINE,440.0,,,,,,,,,,7.0,10.0,21.0,0.4894266144228756,0.416236790650897,0.0892531331319355
988,CARROLL,2229.0,13.0,41.95807554795585,2.9991823410539404,6433.0,16792730.0,562472731.0,1224949.5,3043225.87,10.0,25.0,96.0,23.0,0.5042098670934521,0.2826666972474804,0.1598009881010368
1157,CARSON,0.0,,42.3,2.95,141.0,491600.0,873918.0,944.7,130295.28,1.0,1.0,3.0,21.8,0.5096818810511756,0.2034071627328094,0.1087482710926694
1158,CARSON CITY (CITY),418.0,,,,,,,,,,,,,,,
1159,CARTER,1295.0,4.0,40.30136452241716,2.935029239766082,1026.0,3378459.0,36288881.0,77228.4,651326.5399999999,,2.0,29.0,26.2,0.4942981625307823,0.0912418363470564,0.0150407274104944
1184,CARTERET,1202.0,1.0,,,,,,,,,1.0,18.0,21.6,0.4921879504179879,0.2674516065883622,0.0466416834822715
1185,CASS,1322.0,11.0,37.25131317150816,2.9419140469558296,5026.0,20298881.0,457230728.0,321351.60000000003,6942828.23,57.0,16.0,97.0,17.3,0.5105475231097416,0.2642550352652964,0.2154538990282057
1266,CASSIA,31.0,1.0,32.0,3.46,342.0,757310.0,8065044.0,3043.8,882418.14,3.0,1.0,4.0,18.7,0.5158058857922432,0.1907492150274849,0.286610797115572
1267,CASTRO,0.0,1.0,33.7,3.39,117.0,170063.0,951444.0,1053.0,105209.91,1.0,1.0,2.0,19.9,0.5119210742669225,0.2294676271289281,0.6636064675253495
1268,CASWELL,10.0,,43.6,2.93,282.0,604330.0,6711882.0,15622.8,120820.08,,,8.0,21.2,0.5214911117007164,0.50120304708309,0.0524011674184133
1269,CATAWBA,2238.0,2.0,39.5,3.0,987.0,7464510.0,153164634.0,368644.5,407907.36,,4.0,13.0,22.4,0.4925120211425285,0.4013625625747415,0.1084533408376258
1270,CATOOSA,715.0,1.0,38.2,3.05,262.0,2345159.0,16965548.0,103149.4,42556.66,,,2.0,21.7,0.4887542498474413,0.2316829981943241,0.0390695376747159
1271,CATRON,0.0,,55.7,2.57,47.0,19990.0,177472.0,23.5,325672.4,,,7.0,18.3,0.5218186569114188,0.2593445563195607,0.1959759602822053
1272,CATTARAUGUS,874.0,1.0,40.7,2.9599999999999995,844.0,1623787.0,68228960.0,51230.8,1116190.0,,2.0,33.0,21.7,0.5026753358887479,0.2531997989264372,0.0260599955520087
1273,CAVALIER,0.0,1.0,50.4,2.74,171.0,90840.0,697851.0,444.6,258230.52,,,8.0,16.9,0.5262718932443703,0.161044010305278,0.0255768696135668
1274,CAYUGA,875.0,1.0,41.4,2.93,473.0,1458925.0,38575515.0,51557.0,347314.43999999994,,,26.0,20.7,0.5114936398303955,0.2301107671313151,0.0332675538014347
1275,CEDAR,0.0,1.0,42.71693989071039,2.9178992106860964,1647.0,3264007.0,28559963.0,48930.5,969796.91,3.0,5.0,20.0,16.7,0.5017120495679113,0.123277442755522,0.0264144790477743
1284,CENTRE,552.0,2.0,28.8,2.91,1262.0,3945489.0,197914412.0,174660.80000000002,1404378.84,,1.0,12.0,20.7,0.5277071169323023,0.3187394938978971,0.0328672873599495
1285,CERRO GORDO,125.0,1.0,43.2,2.81,990.0,4739771.0,43907490.0,76031.99999999999,569398.5,12.0,5.0,6.0,17.5,0.4908156287580466,0.19884312583515,0.0569926194911457
1286,CHAMBERS,261.0,3.0,38.61372549019608,3.124621848739496,714.0,3400023.0,25269960.0,40079.0,440774.32,,,14.0,24.1,0.4767953532034734,0.522769856314951,0.0359363999061253
1290,CHAMPAIGN,2568.0,4.0,29.801965714285718,2.955296,4375.0,12376459.0,839189164.0,845343.9,4179591.2,,8.0,32.0,16.3,0.4982618547317252,0.5660586820959602,0.068160470993793
1294,CHARLES CITY,0.0,,46.5,2.8799999999999994,190.0,179388.0,1407520.0,7353.000000000001,35585.1,,,1.0,18.6,0.4965934897804693,0.6579571584355766,0.0252838758516275
1295,CHARLES MIX,0.0,2.0,38.2,3.23,45.0,59762.0,412695.0,355.5,51756.75000000001,4.0,,7.0,16.0,0.5103657874742212,0.5058387337157677,0.0412460653424508
1296,CHARLESTON,5790.0,8.0,35.9,2.96,785.0,14111730.0,281155600.0,281108.5,767777.1,,2.0,12.0,21.3,0.4850827253451759,0.4770112954482587,0.0559245752828069
1297,CHARLOTTE,1708.0,3.0,43.7,2.97,517.0,464358.0,6522989.0,13648.8,246867.5,,2.0,7.0,17.6,0.4925762726918351,0.2652141936174575,0.0839431365679632
1301,CHARLOTTESVILLE (CITY),287.0,,,,,,,,,,,,,,,
1302,CHARLTON,0.0,,38.1,3.1,151.0,367818.0,2060395.0,2340.5,118251.12,,2.0,1.0,20.4,0.5979187856975198,0.5282012770422074,0.0645489398325639
1303,CHATHAM,3621.0,6.0,37.937089439110665,2.9780394138453765,1979.0,15599836.0,376186736.0,726411.9999999999,1131550.08,,12.0,16.0,18.5,0.4810117333705294,0.5823512652927011,0.0702242060131448
1307,CHATTOOGA,83.0,,39.29999999999999,3.0200000000000005,222.0,593248.0,5741364.0,18426.0,69594.78,,3.0,7.0,22.6,0.513795316008983,0.3224115721120712,0.0595123516201475
1308,CHAUTAUQUA,2025.0,4.0,41.57274052478134,2.908629737609329,1372.0,2970911.0,168905846.0,155245.80000000002,1431005.08,,3.0,41.0,19.6,0.5183016105417276,0.3461023005125216,0.0503660322108345
1312,CHAVES,924.0,2.0,34.8,3.22,587.0,2401797.0,38902251.0,6339.6,3566107.18,10.0,1.0,7.0,19.5,0.5035527592575203,0.2707650678978204,0.6036091025761418
1313,CHEATHAM,1427.0,1.0,39.2,3.0600000000000005,86.0,451424.0,3392356.0,10947.8,26420.92,,,6.0,26.1,0.5027014104709538,0.1899271715363116,0.0422185034664116
1314,CHELAN,535.0,4.0,39.3,3.1,259.0,2938777.0,19037277.0,6267.8,775456.36,15.0,,6.0,25.3,0.5050421640017015,0.223196141309025,0.290393614093036
1315,CHEMUNG,1293.0,2.0,40.9,2.92,680.0,2473796.0,60641040.0,147016.0,279371.2,,,20.0,20.7,0.4965735760076634,0.311520380689428,0.0353818190749883
1316,CHENANGO,626.0,1.0,42.9,2.92,485.0,809166.0,24763130.0,27257.0,435845.25,,1.0,20.0,20.4,0.5051659563476688,0.1274271235324815,0.0253992853760385
1317,CHEROKEE,3145.0,13.0,41.733957072096864,2.959444138690148,3634.0,12761270.0,203023540.0,395404.6,2250870.3,6.0,18.0,77.0,25.9,0.5037941664690538,0.2127929146435723,0.02082839301241
1381,CHESAPEAKE (CITY),2300.0,,,,,,,,,,,,,,,
1382,CHESHIRE,771.0,1.0,40.7,2.8800000000000003,1702.0,4900790.0,132117750.0,180071.6,1240655.88,,2.0,24.0,23.2,0.494453781512605,0.158647208079803,0.0243309631544925
1383,CHESTER,5005.0,5.0,39.16779336734695,3.142110969387755,3136.0,21374796.0,1393224090.0,1813253.2,2270452.32,,2.0,45.0,18.3,0.4967690991401974,0.3843608471947193,0.0774665047094021
1392,CHESTERFIELD,4816.0,3.0,39.3,3.05,259.0,620500.0,12164453.0,15022.0,208709.97,,4.0,12.0,22.8,0.4911292722569421,0.516794724270494,0.0560858915367534
1396,CHEYENNE,0.0,3.0,44.65780821917809,2.834,365.0,470399.0,2098518.0,1782.4,446742.64,6.0,3.0,5.0,19.3,0.5150115473441108,0.2277264921207874,0.1299076212471131
1405,CHICKASAW,0.0,2.0,40.70816901408451,3.0076338028169016,355.0,1015806.0,5267741.0,10455.6,179258.25,3.0,2.0,12.0,16.5,0.5082792762034825,0.0845851919124388,0.0311539774667121
1409,CHICOT,0.0,1.0,41.7,3.04,140.0,302360.0,1644300.0,2394.0,96684.0,,,5.0,22.3,0.5096728451331916,0.5089805724330237,0.0641142509875417
1410,CHILDRESS,0.0,1.0,33.9,3.01,110.0,293964.0,781550.0,1089.0,78507.0,,,1.0,20.8,0.587457776472316,0.3400315886588645,0.3131149948597445
1411,CHILTON,256.0,1.0,37.5,3.06,354.0,1463236.0,15591222.0,22054.2,248090.28000000003,,,14.0,27.0,0.4916528637433528,0.3008256494314598,0.0847354197541626
1412,CHIPPEWA,313.0,5.0,41.15248041775457,2.911853785900784,766.0,2400061.0,34299864.0,35124.8,671539.2,3.0,6.0,28.0,21.5,0.5496376711762598,0.5682137116470456,0.0225112280605075
1421,CHITTENDEN,1735.0,1.0,36.2,2.92,1139.0,7352794.0,181247931.0,287825.3,705530.7699999999,,1.0,19.0,22.5,0.4926728135096662,0.2866868424663527,0.0265326253241268
1422,CHOCTAW,0.0,3.0,42.14364937388193,2.966654740608229,559.0,800096.0,7460057.0,10211.0,415853.57,,1.0,19.0,23.7,0.4756009325508481,0.4736531433559834,0.0124608087466838
1431,CIBOLA,210.0,1.0,36.5,3.3,273.0,1395614.0,7459998.0,1638.0,1239870.45,6.0,,11.0,20.4,0.5134322820037106,0.565824691715215,0.3837105751391466
1432,CIMARRON,0.0,1.0,44.4,2.94,174.0,83397.0,429954.0,226.2,320368.8,,,3.0,22.1,0.5159857904085258,0.1790250437780777,0.2424511545293073
1433,CITRUS,2954.0,2.0,54.0,2.63,158.0,1933441.0,22465388.0,35328.8,99778.58,,,2.0,20.2,0.487999064782285,0.2254177413514833,0.0698213857219327
1434,CLACKAMAS,2651.0,3.0,40.6,3.04,2772.0,23385034.0,1054565820.0,554400.0,5210195.76,63.0,1.0,11.0,21.1,0.497482141042637,0.3332576130625549,0.0979637362143972
1435,CLAIBORNE,462.0,3.0,39.07934782608696,2.979375,368.0,890271.0,7892513.0,15390.2,210289.33,,5.0,14.0,23.3,0.4723452583759228,0.3018415661575604,0.0188529244747302
1441,CLALLAM,1098.0,2.0,48.9,2.7,200.0,1756679.0,14400600.0,8100.0,352934.0,18.0,2.0,6.0,25.0,0.4927832401516612,0.3564328659038037,0.0758048968575284
1442,CLARENDON,145.0,1.0,41.5,3.04,346.0,1101050.0,12314486.0,17403.8,240670.68,,1.0,3.0,20.8,0.4925435900753728,0.5168799517600715,0.0346456183482677
1443,CLARION,35.0,2.0,39.3,2.89,495.0,1062468.0,19893555.0,32472.0,301534.2,,1.0,12.0,22.7,0.4941359181706207,0.1307581523962708,0.0117817169174744
1444,CLARK,33423.0,39.0,37.25029161412358,3.1369010088272384,12688.0,151132843.0,13762338227.0,3496436.6,54707777.74,372.0,12.0,83.0,24.3,0.4804235294117647,0.464113724198107,0.0540235294117647
1588,CLARKE,979.0,7.0,36.9551912568306,3.003907103825137,1464.0,8494384.0,73225022.0,509706.0,610368.24,3.0,9.0,22.0,23.6,0.4756828780812791,0.5009619749707326,0.0159449256051521
1613,CLATSOP,235.0,2.0,43.3,2.85,290.0,1889977.0,10892980.0,11455.0,271657.5,11.0,1.0,12.0,23.3,0.4958867969780549,0.2355216268365128,0.0953831394651636
1614,CLAY,2974.0,16.0,38.85106928999145,2.95352010265184,7014.0,23341944.0,536828217.0,1134721.2000000002,4068688.25,41.0,18.0,109.0,26.1,0.4907733483589238,0.347645387794036,0.0318354697844766
1938,CLAYTON,1897.0,4.0,39.51267954432888,3.082164437840515,2019.0,18166293.0,236832286.0,1523060.8,1060524.82,,10.0,16.0,16.8,0.4682429425014499,0.5087671723116772,0.1356840344748519
1942,CLEAR CREEK,0.0,,46.5,2.67,165.0,1863173.0,1509255.0,3778.5,65417.55,1.0,3.0,1.0,18.7,0.5251737039016569,0.2207152111650542,0.0849812934259754
1943,CLEARFIELD,934.0,1.0,42.9,2.86,1353.0,2274491.0,111230130.0,95792.4,1561267.29,,,27.0,21.3,0.521706202505648,0.1385098319901311,0.0260192031217909
1944,CLEARWATER,0.0,2.0,43.306868131868136,2.9192857142857145,364.0,300393.0,3177076.0,2709.7000000000003,478377.62,6.0,2.0,12.0,17.7,0.5529672767609539,0.2161079012994827,0.0462562396006655
1948,CLEBURNE,0.0,1.0,43.151933701657455,2.899447513812155,362.0,1075815.0,7117137.0,12228.2,207686.95,,1.0,16.0,26.8,0.4986315652287241,0.1704859617326295,0.026130587775316
1952,CLERMONT,3222.0,1.0,38.3,3.06,1275.0,8366007.0,255020400.0,548505.0,584893.5,,1.0,15.0,24.3,0.4971134460757572,0.1777539392790879,0.0236664215744408
1953,CLEVELAND,2633.0,4.0,40.28564535585042,2.971435464414958,829.0,4334950.0,71440201.0,150399.5,403772.69,40.0,2.0,26.0,24.7,0.4932369090665595,0.3067172525878404,0.0299986607740725
1962,CLIFTON FORGE (CITY),105.0,,,,,,,,,,,,,,,
1963,CLINCH,0.0,1.0,36.8,3.1,131.0,196766.0,893027.0,1074.1999999999998,107971.51,,2.0,1.0,23.0,0.4840888622035424,0.4859862991991555,0.0576403482437706
1964,CLINTON,2341.0,12.0,39.617331234697446,2.9764218258132216,5718.0,15280315.0,289101675.0,481238.6,3452347.11,1.0,29.0,97.0,17.4,0.5221219756698908,0.1853556690617278,0.0354114172695006
2045,COAL,0.0,1.0,41.0,3.0600000000000005,89.0,94889.0,539518.0,1014.6,46393.03,,,6.0,25.5,0.5006587615283268,0.565529952541629,0.0570299265951439
2046,COBB,6454.0,3.0,35.4,3.1700000000000004,1804.0,31904985.0,1254694628.0,3604392.0,621261.52,,12.0,5.0,17.4,0.4880484796982196,0.5972586749829418,0.1380241258523846
2047,COCHISE,1635.0,4.0,39.7,3.02,1082.0,2663517.0,145614478.0,22830.2,6727767.8,20.0,5.0,22.0,18.3,0.5086063519094721,0.3458630630035899,0.358657679667046
2048,COCHRAN,0.0,1.0,35.6,3.25,96.0,49159.0,298656.0,384.0,74431.68000000001,,,2.0,22.0,0.498812351543943,0.315988018458212,0.6049089469517023
2049,COCKE,793.0,1.0,42.89999999999999,2.87,203.0,991852.0,7307391.0,16321.2,89998.01999999999,,,8.0,27.7,0.4897367065267496,0.1730446117002504,0.0303695870278478
2050,COCONINO,1531.0,4.0,31.0,3.26,414.0,2898649.0,56359476.0,2980.8,7725732.659999999,23.0,6.0,23.0,20.6,0.4959808413161183,0.5572531229037799,0.1504789670970429
2051,COFFEE,843.0,4.0,37.01749555950266,3.0547779751332147,1126.0,4479753.0,54773161.0,93320.2,672166.67,,5.0,17.0,26.1,0.4976005838883313,0.4877140583100852,0.0905391843809871
2060,COKE,0.0,,48.4,2.78,81.0,91757.0,269487.0,291.6,75168.0,,,2.0,22.0,0.5013501350135013,0.1857659199304145,0.2346234623462346
2061,COLBERT,337.0,2.0,41.8,2.9,490.0,2762655.0,26909820.0,42875.0,304917.2,,,13.0,24.8,0.4822773249702755,0.3909481900325759,0.0352213395826512
2062,COLEMAN,0.0,1.0,46.1,2.8400000000000003,197.0,316318.0,1772015.0,1359.3000000000002,252423.98,,1.0,2.0,21.9,0.5061146496815286,0.2526739555940408,0.1889171974522293
2063,COLES,50.0,1.0,31.7,2.87,1626.0,4968562.0,87686928.0,171705.59999999998,829341.3,,3.0,5.0,18.9,0.492618811240126,0.2268773394188544,0.0317693270600423
2064,COLLETON,380.0,1.0,40.7,3.07,186.0,797375.0,7235772.0,6733.200000000001,199936.98,,1.0,2.0,21.5,0.4847793984300111,0.5143883171460661,0.0441462214046996
2065,COLLIER,4144.0,3.0,,,,,,,,,3.0,6.0,15.2,0.4934973894078805,0.2801464579269295,0.2896827590365683
2066,COLLIN,4065.0,13.0,35.0,3.25,3213.0,39642848.0,2643996978.0,2835793.8000000003,2848003.2,,5.0,18.0,18.9,0.4987632649115903,0.6136057301245319,0.1589873443940429
2067,COLLINGSWORTH,0.0,1.0,38.7,3.07,88.0,58859.0,267696.0,290.4,80901.04000000001,,,1.0,22.6,0.4914330218068536,0.3450545732786939,0.3621495327102804
2068,COLONIAL HEIGHTS (CITY),213.0,,,,,,,,,,,,,,,
2069,COLORADO,0.0,2.0,43.60000000000001,3.05,203.0,1334356.0,4303803.0,4344.2,197598.17,,,8.0,20.7,0.5013009540329575,0.3690323499176971,0.3240339211718223
2070,COLQUITT,20.0,2.0,34.8,3.21,424.0,1098375.0,19428104.0,34640.8,236036.56000000003,,2.0,4.0,21.0,0.4978366330142913,0.4726415816926687,0.2077706393951313
2071,COLUMBIA,4314.0,9.0,40.39831495098039,2.9220649509803924,3264.0,12759334.0,213674781.0,403030.9,1966390.96,9.0,12.0,86.0,23.5,0.4855959668707238,0.5074882785228334,0.0322290241267554
2135,COLUMBIANA,1739.0,2.0,42.3,2.92,779.0,2297987.0,84373490.0,157124.3,416523.51000000007,,3.0,22.0,24.6,0.509884490254798,0.1595842329799316,0.0209330322054302
2136,COLUMBUS,978.0,1.0,39.8,3.0,548.0,2066580.0,32124308.0,33373.2,522457.72,,,14.0,23.0,0.5005312218101634,0.5585455458075748,0.0629046807657612
2137,COLUSA,0.0,1.0,33.5,3.5,706.0,1911322.0,15376680.0,13061.0,816432.52,3.0,3.0,7.0,17.8,0.51136259925162,0.2800293237309856,0.6173222597426303
2138,COMAL,659.0,1.0,42.5,3.02,513.0,5038729.0,59165829.0,96751.8,295005.78,,1.0,6.0,19.6,0.4998050281084477,0.2495701049349236,0.2932214772370317
2139,COMANCHE,1216.0,6.0,37.83832997987928,3.018903420523139,994.0,3727594.0,68093267.0,62021.3,992924.25,1.0,3.0,24.0,18.2,0.4913741820345033,0.1542247119709223,0.0874479476502082
2148,CONCHO,0.0,1.0,41.3,2.86,98.0,151355.0,402780.0,401.8,97365.94,,,3.0,21.0,0.5278443113772455,0.5844989725639478,0.3973053892215569
2149,CONECUH,0.0,1.0,43.2,2.92,239.0,483117.0,3165077.0,3704.5,203797.69,,,13.0,23.7,0.4817062288059968,0.5292538369513716,0.0333749776905229
2150,CONTRA COSTA,9190.0,8.0,38.4,3.26,2760.0,70660623.0,2946493200.0,3811284.000000001,2096661.6,147.0,19.0,15.0,15.4,0.4925684938018922,0.6745910119474549,0.2695048946987206
2151,CONVERSE,0.0,1.0,39.0,2.93,287.0,650070.0,4147150.0,918.4,1224092.31,3.0,,3.0,18.1,0.5102277673001596,0.1613194422390279,0.0866096039460322
2152,CONWAY,0.0,1.0,40.5,2.98,210.0,826540.0,4503030.0,7875.0,119017.5,1.0,4.0,10.0,24.9,0.4983369761474864,0.3510697860231079,0.0476099971491019
2153,COOK,74727.0,59.0,35.5228958435742,3.3266841444098527,18309.0,396680226.0,93199164154.0,96439477.8,17517279.23,,99.0,129.0,22.1,0.4787405194208228,0.492927771903867,0.0744656400827396
2162,COOS,942.0,6.0,46.57388888888889,2.733041666666667,1440.0,3590632.0,57045144.0,32524.3,2568309.08,13.0,3.0,29.0,22.4,0.5180929405789741,0.1307446554466125,0.0207910106653123
2166,COOSA,0.0,,44.1,2.89,172.0,349712.0,1999500.0,2975.6,114615.64,,,7.0,23.7,0.5030493802872319,0.4693471571573439,0.0280346252213259
2167,CORSON,0.0,,29.6,3.73,39.0,23241.0,159666.0,62.400000000000006,98655.57,1.0,1.0,4.0,17.8,0.5047046523784632,0.5078823693728649,0.0575013068478829
2168,CORTLAND,530.0,1.0,35.8,2.9600000000000004,371.0,1377421.0,18361161.0,36506.4,186008.27,,1.0,12.0,21.5,0.4936261544465161,0.1922927785919864,0.0323678619433725
2169,CORYELL,91.0,1.0,29.8,3.29,333.0,1423904.0,25618356.0,23742.9,351884.43,,,9.0,23.8,0.5068483487543647,0.5405381248118243,0.2030638277860728
2170,COSHOCTON,302.0,1.0,40.8,2.98,299.0,586743.0,11106355.0,19435.0,169700.43999999997,,1.0,6.0,24.3,0.5007246178666156,0.1306988321729936,0.0130978097399578
2171,COSTILLA,0.0,,48.9,2.8799999999999994,54.0,115221.0,195480.0,156.6,66436.2,,3.0,2.0,17.6,0.5231751318345823,0.3907742477561801,0.5800721620871496
2172,COTTLE,0.0,,47.0,2.81,82.0,36324.0,122344.0,139.4,73924.64,,1.0,1.0,22.6,0.4812547819433818,0.3252462214919992,0.2616679418515685
2173,COTTON,0.0,,41.1,2.99,117.0,100547.0,726687.0,1123.2,75247.38,,1.0,3.0,24.5,0.5011867810845353,0.4564728054252068,0.0998721928062808
2174,COVINGTON,97.0,3.0,41.25649794801641,2.956470588235294,731.0,2370368.0,21057930.0,141386.0,542749.94,,1.0,23.0,25.5,0.4861975426838998,0.3463309983925305,0.021435030051593
2180,COVINGTON (CITY),0.0,,,,,,,,,,,,,,,
2181,COWETA,998.0,2.0,36.5,3.18,629.0,3773502.0,83285890.0,179642.40000000002,280395.62,,3.0,2.0,19.2,0.4877552622283853,0.4679217889790251,0.0799505500974607
2182,COWLITZ,1220.0,1.0,40.2,2.99,340.0,5635602.0,35307640.0,29851.999999999996,396525.0,17.0,,9.0,30.0,0.5002947586551859,0.2871639495873615,0.1037014541426989
2183,CRAIG,0.0,1.0,43.61632653061224,2.904897959183673,392.0,394445.0,3633184.0,6794.4,198743.36,,,12.0,24.8,0.5112228280110458,0.6521847440442924,0.0516179282022233
2187,CRAIGHEAD,467.0,2.0,33.2,3.02,537.0,3885910.0,53298861.0,72656.1,382736.01,,,11.0,25.9,0.487767327039295,0.4219199358143654,0.0577081324048594
2188,CRANE,0.0,1.0,35.1,3.34,47.0,173884.0,212017.0,263.2,36909.56999999999,,,1.0,19.9,0.5050593928728553,0.2666633056705174,0.6744390673119226
2189,CRAVEN,2426.0,1.0,36.2,2.92,444.0,3090670.0,47008500.0,63181.2,322916.75999999995,,,13.0,22.5,0.4987211769137736,0.5172703646200743,0.0802981937863076
2190,CRAWFORD,2030.0,11.0,40.48659156174067,2.9334084382593333,4527.0,11113118.0,202047849.0,297497.7,2916892.54,10.0,21.0,96.0,25.5,0.4934752353663528,0.2846324771197822,0.0916086778550961
2311,CREEK,716.0,2.0,40.0,3.03,378.0,1896217.0,26912466.0,27253.799999999992,366588.18,4.0,1.0,15.0,24.1,0.496430487351958,0.4782914030301732,0.0543886435851937
2312,CRENSHAW,0.0,2.0,40.7,2.97,201.0,375907.0,2821035.0,4582.8,122786.88,,,9.0,25.0,0.4893666026871401,0.4848890738650301,0.0286372360844529
2313,CRISP,58.0,1.0,38.0,3.04,351.0,1499323.0,8264295.0,29273.4,98623.98,,1.0,2.0,20.6,0.4769129287598944,0.5277144755488733,0.0440937690278059
2314,CRITTENDEN,215.0,3.0,35.78913324708926,3.1340491591203103,773.0,4304164.0,33148553.0,53574.99999999999,453608.3,,5.0,15.0,22.6,0.4725356452264083,0.5108364972824332,0.0318947748666624
2318,CROCKETT,0.0,,39.33644859813084,3.0230841121495327,214.0,561066.0,2382092.0,7996.599999999999,234717.3,,,7.0,25.4,0.4835829493087558,0.3767051154441669,0.1198156682027649
